tract,cbsa,cbsaname,cbsapop,cbsasamp1,cbsasamp2,cbsasamp3,nwhite,nblack,nhisp,nasian,povyes,povno,edlow,edhs,edsome,edba,owner,renter,twoparent,singparent,nokids,age0017,age1859,age60up,race_pop,pr_white,pr_black,pr_hisp,pr_asian,pov_pop,pr_pov,singpar_pop,pr_singpar,age_pop,pr_adult_nohs,hsplus
6001408600,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,127,2573,2476,286,1494,4130,920,1132,812,386,733,969,384,388,939,1595,3139,758,5462,0.023251556,0.471072867,0.453313804,0.052361772,5624,0.265647226,1711,0.226767972,3897,0.236079035,2330
6001442601,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1694,87,722,1231,189,3522,291,465,635,1079,910,353,443,40,763,893,2255,696,3734,0.453668988,0.023299411,0.193358329,0.329673273,3711,0.050929669,1246,0.032102729,2951,0.09861064,2179
6081602000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1871,124,2676,2772,782,6536,734,1148,1451,1766,1910,575,812,128,1663,1659,4530,1460,7443,0.251377133,0.016659949,0.359532447,0.372430472,7318,0.106859798,2603,0.04917403,5990,0.122537563,4365
6001432502,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,630,583,1443,1746,479,4173,717,677,906,803,787,611,411,181,814,1075,2745,665,4402,0.143116765,0.1324398,0.327805543,0.396637892,4652,0.102966466,1406,0.128733997,3410,0.21026393,2386
6081603700,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1903,142,1080,2122,156,4806,204,741,1321,1432,1385,324,471,113,1098,1015,3129,1286,5247,0.362683438,0.027063084,0.205831904,0.404421574,4962,0.031438936,1682,0.067181926,4415,0.046206116,3494
6075018000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1824,911,602,738,488,1934,679,513,479,1251,598,901,55,31,1081,174,3792,255,4075,0.447607362,0.223558282,0.147730061,0.181104294,2422,0.201486375,1167,0.026563839,4047,0.167778601,2243
6013348000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3803,34,201,389,160,4455,109,209,461,2401,1482,164,551,53,998,1195,2152,1240,4427,0.859046759,0.007680145,0.045403208,0.087869889,4615,0.034669556,1602,0.033083645,3392,0.032134434,3071
6013390100,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1443,126,125,437,158,2116,43,149,372,1264,782,143,180,86,661,402,1186,641,2131,0.677146879,0.05912717,0.058657907,0.205068043,2274,0.069481091,927,0.092772384,1827,0.023535851,1785
6001404400,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3590,320,355,839,63,5283,81,240,559,3151,1873,406,658,67,1540,1074,3137,1103,5104,0.703369906,0.062695925,0.069553292,0.164380878,5346,0.011784512,2265,0.029580574,4240,0.019103774,3950
6013302008,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3062,825,2998,603,482,6196,774,1015,1540,581,1597,529,954,192,760,2590,4495,633,7488,0.40892094,0.110176282,0.400373932,0.080528846,6678,0.072177299,1906,0.100734523,5128,0.150936037,3136
6081608800,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3919,79,396,1010,51,5733,134,377,1045,2418,1958,179,824,125,1127,1330,3073,1293,5404,0.725203553,0.014618801,0.073279053,0.186898594,5784,0.008817427,2076,0.060211946,4366,0.030691709,3840
6081608400,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1747,225,1819,1601,360,5325,323,585,1248,1444,755,1398,461,178,1520,1159,3589,798,5392,0.323998516,0.041728487,0.337351632,0.296921365,5685,0.063324538,2159,0.082445577,4387,0.073626624,3277
6001444302,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,831,215,2104,1027,245,4157,432,966,872,597,612,586,372,179,692,1279,2606,469,4177,0.198946612,0.051472349,0.503710797,0.245870242,4402,0.05565652,1243,0.144006436,3075,0.140487805,2435
6075047600,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2052,98,314,2502,553,4803,639,461,1195,1922,890,1283,333,157,1690,813,3140,1184,4966,0.413209827,0.019734193,0.063229964,0.503826017,5356,0.103248693,2180,0.072018349,4324,0.147779833,3578
6075011300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,494,37,74,2516,1084,2423,1603,404,416,458,158,1369,125,146,1330,337,1614,1192,3121,0.158282602,0.011855175,0.023710349,0.806151874,3507,0.309096094,1601,0.091193004,2806,0.571275837,1278
6075010800,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2141,59,166,2133,482,4105,1084,297,378,2295,546,1792,203,33,2149,394,3057,1127,4499,0.47588353,0.013114025,0.036897088,0.474105357,4587,0.105079573,2385,0.013836478,4184,0.259082218,2970
6081610302,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,918,71,849,211,59,1731,156,342,680,318,495,331,91,67,738,382,1366,360,2049,0.448023426,0.034651049,0.414348463,0.102977062,1790,0.032960894,896,0.074776786,1726,0.090382387,1340
6001441921,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,986,162,989,1399,232,3539,260,541,695,761,422,825,331,122,739,787,2508,368,3536,0.278846154,0.04581448,0.27969457,0.395644796,3771,0.061522143,1192,0.102348993,2876,0.090403338,1997
