city,pop2019,num_affected,prop_affected,layoff,geometry
akron,195800,418,0.0021348314606741575,1,"c(-81.521429, 41.080456)"
alliance,21474,907,0.042237123963863275,1,"c(-81.119827, 40.911171)"
amherst,12069,NA,NA,0,"c(-82.231725, 41.405329)"
ashland,20825,NA,NA,0,"c(-82.315152, 40.867068)"
ashtabula,18032,176,0.009760425909494233,1,"c(-80.798494, 41.87947)"
athens,26604,NA,NA,0,"c(-82.098007, 39.326001)"
aurora,16047,186,0.01159095157973453,1,"c(-81.332508, 41.301543)"
avon,23579,NA,NA,0,"c(-82.005109, 41.4451)"
avon lake,24265,115,0.004739336492890996,1,"c(-82.016076, 41.494505)"
barberton,25787,85,0.0032962345367820996,1,"c(-81.60439, 41.006903)"
bay village,15139,NA,NA,0,"c(-81.931435, 41.487794)"
beachwood,11566,218,0.018848348607988934,1,"c(-81.503232, 41.476264)"
beavercreek,46988,12,2.5538435345194517e-4,1,"c(-84.059615, 39.733155)"
bedford,12446,611,0.04909207777599229,1,"c(-81.53468, 41.392123)"
bedford heights,10366,NA,NA,0,"c(-81.50236, 41.403557)"
bellefontaine,13013,139,0.010681626066241451,1,"c(-83.762996, 40.362714)"
bellevue,7895,NA,NA,0,"c(-82.839855, 41.274116)"
berea,18847,102,0.0054120019101183215,1,"c(-81.861757, 41.370548)"
bexley,13717,75,0.005467667857403222,1,"c(-82.934479, 39.965358)"
blue ash,12432,363,0.0291988416988417,1,"c(-84.389324, 39.246536)"
bowling green,32236,80,0.002481697481077057,1,"c(-83.649584, 41.377677)"
brecksville,13407,103,0.0076825538897590815,1,"c(-81.619908, 41.307187)"
broadview heights,19140,NA,NA,0,"c(-81.679262, 41.318156)"
brook park,18376,NA,NA,0,"c(-81.820342, 41.404309)"
brooklyn,10636,154,0.014479127491538173,1,"c(-81.74918, 41.43474)"
brunswick,34891,NA,NA,0,"c(-81.816324, 41.24726)"
bryan,8413,130,0.01545227623915369,1,"c(-84.548731, 41.471479)"
bucyrus,11693,NA,NA,0,"c(-82.971632, 40.805119)"
cambridge,10307,88,0.008537886872998933,1,"c(-81.58539, 40.020964)"
canal winchester,8142,NA,NA,0,"c(-82.81626, 39.839794)"
canton,69697,1072,0.015380862877885705,1,"c(-81.367228, 40.80765)"
celina,10174,NA,NA,0,"c(-84.563268, 40.555331)"
centerville,23697,93,0.003924547411064691,1,"c(-84.145685, 39.634359)"
cheviot,8241,NA,NA,0,"c(-84.613969, 39.157947)"
chillicothe,21674,69,0.003183537879486943,1,"c(-82.994059, 39.33866)"
cincinnati,299238,2636,0.008809041632412995,1,"c(-84.505829, 39.140183)"
circleville,14070,194,0.013788201847903341,1,"c(-82.932515, 39.601152)"
clayton,13166,NA,NA,0,"c(-84.325438, 39.869541)"
cleveland,379800,2506,0.0065982095839915746,1,"c(-81.679435, 41.478462)"
cleveland heights,43739,NA,NA,0,"c(-81.561766, 41.511075)"
columbus,890228,5576,0.006263563940923,1,"c(-82.984787, 39.984371)"
conneaut,12666,NA,NA,0,"c(-80.568382, 41.927299)"
coshocton,11267,229,0.02032484246028224,1,"c(-81.847292, 40.261752)"
cuyahoga falls,48804,123,0.002520285222522744,1,"c(-81.553008, 41.182881)"
dayton,140231,659,0.004699388865514758,1,"c(-84.199632, 39.777394)"
defiance,16385,65,0.003967043027158987,1,"c(-84.365835, 41.28099)"
delaware,40488,56,0.0013831258644536654,1,"c(-83.074864, 40.286476)"
dover,12705,NA,NA,0,"c(-81.480254, 40.530333)"
dublin,46987,NA,NA,0,"c(-83.145774, 40.113304)"
east cleveland,16884,11,6.515043828476665e-4,1,"c(-81.578516, 41.530657)"
east liverpool,10401,NA,NA,0,"c(-80.567229, 40.633011)"
eastlake,17720,28,0.001580135440180587,1,"c(-81.433829, 41.655807)"
eaton,8160,37,0.0045343137254901964,1,"c(-84.634475, 39.751077)"
elyria,53472,205,0.0038337821663674445,1,"c(-82.108008, 41.373539)"
englewood,13457,85,0.006316415248569518,1,"c(-84.309463, 39.865067)"
euclid,46511,64,0.0013760185762507794,1,"c(-81.519678, 41.592154)"
fairborn,34476,334,0.00968789882817032,1,"c(-84.008482, 39.799578)"
fairfield,42452,270,0.0063601243757655706,1,"c(-84.542716, 39.33142)"
fairview park,16140,NA,NA,0,"c(-81.852974, 41.441975)"
findlay,41542,NA,NA,0,"c(-83.637299, 41.046133)"
forest park,18653,NA,NA,0,"c(-84.525694, 39.28602)"
fostoria,13186,62,0.004701956620658274,1,"c(-83.4124, 41.16025)"
franklin,11774,128,0.01087141158484797,1,"c(-84.295728, 39.554951)"
fremont,16438,185,0.011254410512227765,1,"c(-83.11559, 41.353019)"
gahanna,36072,304,0.00842758926591262,1,"c(-82.904037, 40.026461)"
galion,9948,0,0,1,"c(-82.778987, 40.737692)"
garfield heights,27386,60,0.0021909004600890966,1,"c(-81.603942, 41.419775)"
girard,9177,NA,NA,0,"c(-80.696088, 41.168098)"
grandview heights,8711,NA,NA,0,"c(-83.040111, 39.979299)"
green,25505,NA,NA,0,"c(-81.472042, 40.953816)"
greenville,12515,57,0.004554534558529764,1,"c(-84.62145, 40.104708)"
grove city,41248,75,0.0018182699767261444,1,"c(-83.066933, 39.866366)"
hamilton,61722,114,0.0018469913483036842,1,"c(-84.565754, 39.393428)"
harrison,12203,NA,NA,0,"c(-84.789593, 39.25662)"
heath,10892,142,0.013037091443261109,1,"c(-82.442075, 40.020814)"
highland heights,8418,126,0.01496792587312901,1,"c(-81.469127, 41.551783)"
hilliard,38670,180,0.004654771140418929,1,"c(-83.157788, 40.034719)"
huber heights,38076,103,0.0027051160836222294,1,"c(-84.112893, 39.858881)"
hudson,22119,NA,NA,0,"c(-81.441611, 41.239213)"
ironton,10801,NA,NA,0,"c(-82.677052, 38.531325)"
kent,30953,NA,NA,0,"c(-81.361122, 41.149143)"
kenton,8199,NA,NA,0,"c(-83.609951, 40.644541)"
kettering,54847,NA,NA,0,"c(-84.150437, 39.695991)"
lakewood,49253,NA,NA,0,"c(-81.801716, 41.483041)"
lancaster,40217,135,0.0033567894174105477,1,"c(-82.605275, 39.724737)"
lebanon,20747,119,0.005735769026847255,1,"c(-84.219695, 39.423069)"
lima,36859,293,0.007949211861417836,1,"c(-84.112091, 40.740679)"
london,10209,NA,NA,0,"c(-83.437535, 39.893622)"
lorain,63916,1252,0.019588209525001565,1,"c(-82.179722, 41.438805)"
louisville,9356,58,0.006199230440359128,1,"c(-81.264274, 40.837036)"
loveland,13158,142,0.010791913664690683,1,"c(-84.274553, 39.267517)"
lyndhurst,13377,NA,NA,0,"c(-81.494818, 41.516931)"
macedonia,12541,NA,NA,0,"c(-81.501633, 41.314919)"
madeira,9262,NA,NA,0,"c(-84.373106, 39.185105)"
mansfield,46117,334,0.007242448554762886,1,"c(-82.53082, 40.76672)"
