"asciiname","pop2019","location"
"Columbus",890228,"https://www.google.com/maps/?q=39.984371,-82.984787"
"Cleveland",379800,"https://www.google.com/maps/?q=41.478462,-81.679435"
"Cincinnati",299238,"https://www.google.com/maps/?q=39.140183,-84.505829"
"Toledo",275004,"https://www.google.com/maps/?q=41.664071,-83.581861"
"Akron",195800,"https://www.google.com/maps/?q=41.080456,-81.521429"
"Dayton",140231,"https://www.google.com/maps/?q=39.777394,-84.199632"
"Parma",78054,"https://www.google.com/maps/?q=41.383569,-81.728641"
"Canton",69697,"https://www.google.com/maps/?q=40.80765,-81.367228"
"Lorain",63916,"https://www.google.com/maps/?q=41.438805,-82.179722"
"Youngstown",63109,"https://www.google.com/maps/?q=41.099095,-80.645902"
"Hamilton",61722,"https://www.google.com/maps/?q=39.393428,-84.565754"
"Springfield",57494,"https://www.google.com/maps/?q=39.928825,-83.797365"
"Kettering",54847,"https://www.google.com/maps/?q=39.695991,-84.150437"
"Elyria",53472,"https://www.google.com/maps/?q=41.373539,-82.108008"
"Newark",50310,"https://www.google.com/maps/?q=40.069732,-82.424925"
"Lakewood",49253,"https://www.google.com/maps/?q=41.483041,-81.801716"
"Middletown",49206,"https://www.google.com/maps/?q=39.502952,-84.364893"
"Cuyahoga Falls",48804,"https://www.google.com/maps/?q=41.182881,-81.553008"
"Beavercreek",46988,"https://www.google.com/maps/?q=39.733155,-84.059615"
"Dublin",46987,"https://www.google.com/maps/?q=40.113304,-83.145774"
"Euclid",46511,"https://www.google.com/maps/?q=41.592154,-81.519678"
"Mentor",46246,"https://www.google.com/maps/?q=41.690159,-81.33588"
"Mansfield",46117,"https://www.google.com/maps/?q=40.76672,-82.53082"
"Strongsville",44628,"https://www.google.com/maps/?q=41.312955,-81.83169"
"Cleveland Heights",43739,"https://www.google.com/maps/?q=41.511075,-81.561766"
"Fairfield",42452,"https://www.google.com/maps/?q=39.33142,-84.542716"
"Findlay",41542,"https://www.google.com/maps/?q=41.046133,-83.637299"
"Grove City",41248,"https://www.google.com/maps/?q=39.866366,-83.066933"
"Delaware",40488,"https://www.google.com/maps/?q=40.286476,-83.074864"
"Westerville",40335,"https://www.google.com/maps/?q=40.123435,-82.913324"
"Lancaster",40217,"https://www.google.com/maps/?q=39.724737,-82.605275"
"Warren",38932,"https://www.google.com/maps/?q=41.238256,-80.816725"
"Hilliard",38670,"https://www.google.com/maps/?q=40.034719,-83.157788"
"Reynoldsburg",38223,"https://www.google.com/maps/?q=39.958786,-82.795202"
"Huber Heights",38076,"https://www.google.com/maps/?q=39.858881,-84.112893"
"Lima",36859,"https://www.google.com/maps/?q=40.740679,-84.112091"
"Marion",36325,"https://www.google.com/maps/?q=40.593304,-83.122972"
"Gahanna",36072,"https://www.google.com/maps/?q=40.026461,-82.904037"
"Upper Arlington",35297,"https://www.google.com/maps/?q=40.027587,-83.070722"
"Brunswick",34891,"https://www.google.com/maps/?q=41.24726,-81.816324"
"Stow",34534,"https://www.google.com/maps/?q=41.176261,-81.436523"
"North Ridgeville",34477,"https://www.google.com/maps/?q=41.386,-82.024711"
"Fairborn",34476,"https://www.google.com/maps/?q=39.799578,-84.008482"
"Mason",34177,"https://www.google.com/maps/?q=39.351707,-84.302041"
"Bowling Green",32236,"https://www.google.com/maps/?q=41.377677,-83.649584"
"Massillon",32225,"https://www.google.com/maps/?q=40.784483,-81.525216"
"Westlake",31951,"https://www.google.com/maps/?q=41.449531,-81.930162"
"North Olmsted",31322,"https://www.google.com/maps/?q=41.414984,-81.919039"
"Kent",30953,"https://www.google.com/maps/?q=41.149143,-81.361122"
"North Royalton",30118,"https://www.google.com/maps/?q=41.313701,-81.74518"
"Wooster",27431,"https://www.google.com/maps/?q=40.816206,-81.933061"
"Garfield Heights",27386,"https://www.google.com/maps/?q=41.419775,-81.603942"
"Shaker Heights",26911,"https://www.google.com/maps/?q=41.47609,-81.549197"
"Athens",26604,"https://www.google.com/maps/?q=39.326001,-82.098007"
"Xenia",26532,"https://www.google.com/maps/?q=39.683133,-83.940808"
"Troy",26130,"https://www.google.com/maps/?q=40.043891,-84.21953"
"Medina",25949,"https://www.google.com/maps/?q=41.134636,-81.869513"
"Barberton",25787,"https://www.google.com/maps/?q=41.006903,-81.60439"
"Green",25505,"https://www.google.com/maps/?q=40.953816,-81.472042"
"Zanesville",25192,"https://www.google.com/maps/?q=39.957027,-82.011954"
"Marysville",25131,"https://www.google.com/maps/?q=40.227986,-83.35936"
"Riverside",24951,"https://www.google.com/maps/?q=39.78265,-84.123915"
"Sandusky",24484,"https://www.google.com/maps/?q=41.455887,-82.71441"
"Trotwood",24349,"https://www.google.com/maps/?q=39.791861,-84.321836"
"Avon Lake",24265,"https://www.google.com/maps/?q=41.494505,-82.016076"
"Wadsworth",24180,"https://www.google.com/maps/?q=41.027436,-81.732205"
"Centerville",23697,"https://www.google.com/maps/?q=39.634359,-84.145685"
"Avon",23579,"https://www.google.com/maps/?q=41.4451,-82.005109"
"Willoughby",23306,"https://www.google.com/maps/?q=41.645285,-81.414353"
"Oxford",23139,"https://www.google.com/maps/?q=39.50524,-84.743978"
"Solon",22931,"https://www.google.com/maps/?q=41.38599,-81.440835"
"Hudson",22119,"https://www.google.com/maps/?q=41.239213,-81.441611"
"Maple Heights",22067,"https://www.google.com/maps/?q=41.409047,-81.562861"
"Perrysburg",21898,"https://www.google.com/maps/?q=41.538986,-83.644132"
"Chillicothe",21674,"https://www.google.com/maps/?q=39.33866,-82.994059"
"Alliance",21474,"https://www.google.com/maps/?q=40.911171,-81.119827"
"South Euclid",21295,"https://www.google.com/maps/?q=41.523936,-81.524491"
"Piqua",21167,"https://www.google.com/maps/?q=40.150197,-84.243147"
"Pickerington",21080,"https://www.google.com/maps/?q=39.892983,-82.772344"
"Ashland",20825,"https://www.google.com/maps/?q=40.867068,-82.315152"
"Lebanon",20747,"https://www.google.com/maps/?q=39.423069,-84.219695"
"Portsmouth",20407,"https://www.google.com/maps/?q=38.752795,-82.952373"
"Sidney",20060,"https://www.google.com/maps/?q=40.289527,-84.166729"
"Rocky River",19976,"https://www.google.com/maps/?q=41.473072,-81.853825"
"Oregon",19890,"https://www.google.com/maps/?q=41.655956,-83.438325"
"Miamisburg",19830,"https://www.google.com/maps/?q=39.630938,-84.270742"
"Parma Heights",19796,"https://www.google.com/maps/?q=41.383386,-81.761273"
"Norwood",19759,"https://www.google.com/maps/?q=39.160487,-84.453468"
"Painesville",19445,"https://www.google.com/maps/?q=41.721635,-81.258357"
"Springboro",19193,"https://www.google.com/maps/?q=39.562227,-84.233602"
"Broadview Heights",19140,"https://www.google.com/maps/?q=41.318156,-81.679262"
"Sylvania",19011,"https://www.google.com/maps/?q=41.710681,-83.706462"
"Twinsburg",18898,"https://www.google.com/maps/?q=41.322594,-81.443123"
"Whitehall",18874,"https://www.google.com/maps/?q=39.968968,-82.883948"
"Berea",18847,"https://www.google.com/maps/?q=41.370548,-81.861757"
"Forest Park",18653,"https://www.google.com/maps/?q=39.28602,-84.525694"
"Mayfield Heights",18443,"https://www.google.com/maps/?q=41.517312,-81.453889"
"Brook Park",18376,"https://www.google.com/maps/?q=41.404309,-81.820342"
"Ashtabula",18032,"https://www.google.com/maps/?q=41.87947,-80.798494"
"Niles",17924,"https://www.google.com/maps/?q=41.187807,-80.753101"
