date_recd,company,city,county,num_affected,date_layoff,phone,union,warn-id,year,union_rep
2015-12-28,Fenner Dunlop,Port Clinton,Ottawa,85,2015-12-23,(419) 635‐2191,USW Local 1117L,007‐15‐034,2015,1
2015-12-22,Enersys,Cleveland,Cuyahoga,95,2016-02-19,(216) 889‐2343,"United Steelworkers
Union Local 1‐00243",003‐15‐033,2015,1
2015-12-18,Exterran,Youngstown,Mahoning,68,2016-01-14,(281) 836‐7049,NA,017‐15‐032,2015,0
2015-12-14,Concord Steel,Warren,Trumbull,11,2015-12-31,(708) 225‐3522,USW,018‐15‐031,2015,1
2015-12-11,Titan Tire,Bryan,Williams,130,2016-02-08,(419) 787‐5051,USW,007‐15‐030,2015,1
2015-12-01,Volvo Group North America LLC,Lewis Center,Delaware,121,2015-12-31,(301) 660‐0704,UAW Local 2269,007‐15‐029,2015,1
2015-11-20,Chester Packaging LLC,Cincinnati,Hamilton,79,2016-01-31,(513) 458‐3848,NA,013‐15‐028,2015,0
2015-11-16,Centrus Energy Corp,Piketon,Pike,NA,2016-01-11,(740) 897‐5843,NA,001‐15‐027,2015,0
2015-11-16,"Hyundai Ideal Electric
Co",Mansfield,Richland,107,2015-01-11,(419) 522‐3611,"United Steelworkers
Union Local 8530",010‐15‐026,2015,1
2015-11-16,Accel Performance Group LLC,Cleveland,Cuyahoga,64,2015-12-20,(216) 658‐6278,NA,003‐15‐025,2015,0
2015-11-03,Parker Hannifin Corporation,Youngstown,Mahoning,132,2016-01-15,(330) 270‐6102,United Steelworkers Local 2332,017‐15‐024,2015,1
2015-10-30,Manitowoc (Cleveland Range),Cleveland,Cuyahoga,219,2015-12-26,(717) 593‐5093,UAW,003‐15‐023,2015,1
2015-10-30,Thirty One Gifts LLC,Johnstown,Licking,242,2016-01-16,(740) 966‐3607,NA,007‐15‐022,2015,0
2015-10-30,Thirty One Gifts LLC,Springfield,Clark,80,2016-01-16,(740) 966‐3607,NA,007‐15‐022,2015,0
2015-10-30,3M Company,Brookville,Montgomery,75,2015-12-31,(317) 692‐6978,NA,007‐15‐021,2015,0
2015-10-30,Exel INC,Springfield,Clark,91,2016-01-08,(614) 865‐8540,NA,007‐15‐020,2015,0
2015-10-20,TTM Technologies Inc.,Cuyahoga Falls,Summit,70,2015-12-21,(330) 538‐3900,NA,002‐15‐019,2015,0
2015-10-16,WestRock,Coshocton,Coshocton,229,2015-12-15,(740) 552‐2290,"IUOE, Local 18‐D,
Local 18‐S",007‐15‐018,2015,1
2015-10-08,Terra Source Global,Cuyahoga Falls,Summit,53,2015-12-11,(618) 233‐7223,NA,002‐15‐017,2015,0
2015-10-07,Demdaco,Bowling Green,Wood,20,2015-12-31,(913) 402‐6800,NA,007‐15‐016,2015,0
2015-09-29,"MetalTek International
‐ Sandusky Division",Sandusky,Erie,16,2015-09-29,(419) 609‐4030,NA,007‐15‐015,2015,0
2015-09-21,"KBI ‐ Kyklos Bearing
International LLC",Sandusky,Erie,177,2015-11-30,(419) 627‐7183,"United Autoworkers
Union Local 913",007‐15‐014,2015,1
2015-09-22,Centrus Energy Corp,Piketon,Pike,NA,2015-11-10,(740) 897‐5843,NA,001‐15‐013,2015,0
2015-09-08,"Stingray Pressure
Pumping LLC",Unknown,Monroe,22,2015-10-31,(405) 608‐8195,NA,015‐15‐012,2015,0
2015-09-01,"Maxim Healthcare
Services INC",St. Clairsville,Belmont,94,2015-01-10,(443) 860‐5561,NA,016‐15‐011,2015,0
2015-08-31,Fluor BWXT,Piketon,Pike,NA,2015-10-22,(740) 897‐2839,"United Steelworkers Local 689 & Security, Police, Fire Professionals of America Local 66",001‐15‐010,2015,1
2015-08-27,Omnicare Inc.,Cincinnati,Hamilton,232,2015-10-30,(401) 770‐5830,NA,013‐15‐009,2015,0
2015-08-18,Coyne International Enterprises Corp.,Cleveland,Cuyahoga,NA,2015-10-31,(315) 475‐1626,"TEAMSTERS LOCAL UNION 293, TEXTILE
PROCESSORS LOCAL 1, TEAMSTERS
LOCAL UNION 2",003‐15‐008,2015,1
2015-08-10,Aramark,Cleveland,Cuyahoga,371,2015-10-16,(630) 936‐7078,NA,003‐15‐007,2015,0
2015-08-03,Pinnacle Workforce Logistics,Delaware,Delaware,56,2015-08-15,(484) 554‐2069,NA,007‐15‐006,2015,0
2015-07-27,Aramark,Cincinnati,Hamilton,432,2015-09-30,(513) 803‐1628,NA,013‐15‐005,2015,0
2015-07-22,HDT,Solon,Cuyahoga,69,2015-09-30,(216) 438‐6715,Teamsters Local No. 293,003‐15‐004,2015,1
2015-07-09,"Litigation Management
Inc",Mayfield Heights,Cuyahoga,41,2015-07-07,(440) 684‐8771,NA,003‐15‐003,2015,0
2015-07-07,NOV,Springfield,Clark,149,2015-09-18,(937) 327‐3125,UAW,007‐15‐002,2015,1
2015-07-02,CITI,Columbus,Franklin,403,2015-04-04,(469) 220‐4363,NA,011‐15‐001,2015,0
2015-06-17,Sodexo (at Bowling Green University),Bowling Green,Wood,60,2015-07-11,(419) 372‐7102,NA,007‐14‐060,2015,0
2015-06-17,Sodexo (at Franciscan University),Steubenville,Jefferson,148,2015-07-31,(740) 284‐5751,NA,016‐14‐059,2015,0
2015-06-15,Lorain National Bank,Lorain,Lorain,98,2015-08-14,(440) 244‐7252,NA,004‐14‐058,2015,0
2015-06-15,"Haverhill Chemicals
LLC",Haverhill,Scioto,164,2015-08-10,(740) 533‐5222,NA,001‐14‐057,2015,0
2015-06-08,"The Service Companies
Inc",Cleveland,Cuyahoga,86,2015-07-31,(702) 784‐5163,UNITE HERE,003‐14‐056,2015,1
2015-06-08,Community Development Institute Head Start,Youngstown,Mahoning,143,2015-07-31,(202) 401‐9215,NA,017‐14‐055,2015,0
2015-05-20,Caremark RX LLC,Solon,Cuyahoga,76,2015-07-18,(480) 614‐7257,NA,003‐14‐054,2015,0
2015-05-19,Hopkins Partners (at the Sheraton Cleveland Airport Hotel),Cleveland,Cuyahoga,125,2015-07-20,(630) 584‐6580 x509,Local a/w Chicago & Midwest Regional Joint Board a/w Workers United,003‐14‐053,2015,1
2015-05-13,Hydraulic Technologies,Galion,Crawford,NA,2015-07-07,(419) 462‐4301,NA,010‐14‐052,2015,0
2015-05-11,DecisionOne,Grove City,Franklin,75,2015-05-13,(610) 296‐2924,NA,011‐14‐051,2015,0
2015-05-01,Renaissance Cleveland,Cleveland,Cuyahoga,282,2015-06-30,(301) 380‐3023,NA,003‐14‐050,2015,0
2015-04-21,"Volvo Group North
America LLC",Lewis Center,Delaware,300,2015-06-26,(740) 549‐6431,UAW Local 2269,007‐14‐049,2015,1
2015-04-20,Meritor,Heath,Licking,96,NA,(740) 348‐3594,"IBEW Local 1206 and
UAW",007‐14‐048,2015,1
2015-04-10,"Republic Storage
Systems",Canton,Stark,270,2015-04-10,(330) 438‐5800,United Steelworkers,006‐14‐047,2015,1
2015-04-06,"ExxonMobil Chemical
Company",Akron,Summit,NA,2015-12-31,(330) 849‐5133,NA,002‐14‐046,2015,0
2015-04-02,ABM Healthcare Support Services,Various,Various,90,2015-06-30,(586) 771‐3040,NA,011‐14‐045,2015,0
2015-03-31,"Regency Hospital of Akron (Select Medical
Corp)",Barberton,Summit,85,2015-05-29,(717) 972‐1128,NA,002‐14‐044,2015,0
